,Arabic,Basque,Catalan,Chinese,Czech,English,Greek,Hungarian,Italian,Turkish
0,0.183055,0.149589,0.217645,0.201602,0.17633,0.238727,0.196186,0.166947,0.207359,0.148524
1,0.183177,0.149344,0.21768,0.201637,0.176316,0.238674,0.19628,0.166851,0.207278,0.148631
2,0.183196,0.149507,0.217633,0.201574,0.176312,0.238705,0.19623,0.167112,0.207424,0.14874
3,0.183243,0.149768,0.217659,0.201539,0.176265,0.238641,0.196341,0.166914,0.207321,0.14871
4,0.183175,0.149496,0.21765,0.201546,0.176305,0.238712,0.196341,0.166851,0.20727,0.148481
5,0.183384,0.149352,0.217681,0.201575,0.176375,0.23867,0.19626,0.166915,0.207292,0.148645
6,0.183147,0.149485,0.217714,0.201629,0.17628,0.238688,0.196347,0.167013,0.20732,0.14845
7,0.183421,0.14967,0.21771,0.20158,0.176307,0.238709,0.19635,0.167022,0.207458,0.148619
8,0.183355,0.149671,0.217721,0.20159,0.176316,0.238652,0.196269,0.166789,0.207299,0.148521
9,0.183248,0.150225,0.217705,0.201583,0.176353,0.238724,0.196379,0.166981,0.207399,0.148419
10,0.183224,0.149507,0.217669,0.20161,0.176301,0.238692,0.196351,0.166993,0.207133,0.148209
11,0.183353,0.149898,0.217682,0.201596,0.176289,0.238647,0.19644,0.166826,0.207296,0.148662
12,0.183203,0.149746,0.217664,0.201593,0.176263,0.23865,0.196187,0.167019,0.207358,0.148495
13,0.183069,0.149425,0.217643,0.201545,0.176333,0.238688,0.196163,0.166861,0.207434,0.148713
14,0.183307,0.149394,0.217636,0.201566,0.176292,0.238684,0.196341,0.166935,0.207325,0.148445
15,0.183096,0.149704,0.217701,0.201612,0.176412,0.238661,0.196473,0.166916,0.207352,0.148598
16,0.183135,0.149267,0.217678,0.201554,0.176293,0.23872,0.196153,0.166989,0.207331,0.148418
17,0.183037,0.149556,0.21766,0.201536,0.176358,0.238685,0.196395,0.166893,0.207169,0.148557
18,0.183232,0.149829,0.217677,0.201606,0.176295,0.238693,0.196361,0.167108,0.207314,0.148832
19,0.183309,0.14925,0.21767,0.201498,0.176336,0.238695,0.19668,0.16686,0.207144,0.148725
